L,W,s,d,h,epsr,Resonant Freq
30,25,15,8,1.57,2.33,2.969
30,25,25,4,1.57,2.33,3.128
30,25,25,12,1.57,2.33,2.64
30,25,10,16,1.57,4.5,2.2
30,25,10,4,1.57,6.15,2.013
30,25,20,16,1.57,6.15,1.563
30,25,20,16,1.57,9.8,1.244
30,25,10,8,1.57,2.33,3.13
40,30,25,5,2.5,2.33,2.359
40,30,30,20,2.5,2.33,1.844
40,30,25,5,2.5,4.5,1.713
40,30,35,10,2.5,4.5,1.65
40,30,20,10,2.5,6.15,1.432
40,30,30,20,2.5,6.15,1.183
40,30,20,15,2.5,9.8,1.09
50,35,30,6,3.17,2.33,1.904
50,35,35,18,3.17,2.33,1.635
50,35,35,6,3.17,4.5,1.38
50,35,40,12,3.17,4.5,1.303
50,35,35,12,3.17,6.15,1.114
50,35,45,24,3.17,6.15,0.983
50,45,22,20,8,1.07,2.68
